AGL23	BIOGENESIS OF ORGANELLES
BIK1	BRI1
WDRS	MULTI-PROTEIN CRL E3 LIGASE COMPLEXES
CP	MEMBRANE SIGNALING PHOSPHOLIPIDS
DHARS	CYSTEINE
SNAP33	PEN1
LOH1	FB1
PLD ALPHA	CA(2+)
PAA1	CU(+)
FERREDOXIN	ELECTRON FLOW
TAM	G2/M TRANSITION
ABH1	ABA SIGNALING
BNI COL1	QTN
CYP98A3	PROTEIN ASSOCIATION
LHP1	LOCALIZATION ACCORDING TO PLANT SPECIES
ATSUMO1/2	ATSCE1A
BRS1	PROTEIN INVOLVED IN EARLY EVENT IN BRI1 SIGNALING
RECEPTOR-LIKE KINASES	PROCESSES
TK1A/TK1B	ARABIDOPSIS GENOME
ATMEGACLUSTER	EXPRESSION LEVELS
UPF2	DEVELOPMENT
CEP3-1	MERISTEM SIZE AND S-PHASE CELL NUMBER
ACS2/6	ACC
ACS	FERMENTATIVE INTERMEDIATES
ABCG26	EXINE FORMATION
ACBP1	VESICLES, PLASMA MEMBRANE, CELL WALL
GLUCAN HYDROLASES	EFFICIENT STARCH CATABOLISM
RSL1	PLASMA MEMBRANE
NPH1/NPL1	LOW-INTENSITY/HIGH-INTENSITY BLUE LIGHT
CYCD3	ICK1-OVEREXPRESSING PLANTS
CYO1	THYLAKOID MEMBRANE
IRT1	TRANS-GOLGI NETWORK/EARLY ENDOSOMES
OBP1	CELL CYCLE GENES
OXA2B	CYTOCHROME C OXIDASE SUBUNIT 2
GDC L-PROTEIN	ARTIFICIAL REDUCING AGENTS
ATRBX1	FLORAL MORPHOLOGICAL DEFECTS
ATSPDT	P
PPIN1	MED16 MEDIATES AUXIN SIGNALING
LIPOYL COFACTOR	DECARBOXYLATION OF PYRUVATE, GLYCINE, AND BCKAS
POINT MUTATIONS	DVL1-OVEREXPRESSION PHENOTYPES
VSRS	EXPRESSION PATTERNS
IQD1	CELL NUCLEUS
ATARP4	NUCLEUS
GENES	NT103 GST GENE
APUM23	U3 AND U14 SNORNAS
PROTEASE	PLANT DEVELOPMENT
ATMVD1	MEVALONATE DIPHOSPHATE AS SUBSTRATE
REDUNDANT ACTIVITY	NUCLEAR GENE-INDUCED PLANT VARIEGATIONS
CRY2	FLOWERING
PIN	PGP
MOR1	CORTICAL MICROTUBULES
AVR PROTEIN	PLANT CELL
ATPAT21	SEED PRODUCTION
RIC	RNA METABOLISM IN PLANTS
GENE	STRESS CONDITIONS
ATSFGH	S-FORMYLGLUTATHIONE
HTL	CHLOROPHYLL A/B BINDING PROTEIN 3 AND CHALCONE SYNTHASE GENES
CA1/CA2	LIGHT REGULATED
GENE	24 KB OF GENOMIC DNA
HUMAN GPI-APS	CAPILLARY LIQUID CHROMATOGRAPHY AND TANDEM MASS SPECTROMETRY
PAO5 MUTANT	T-SPM OXIDATION
MGR9	MG(2+)
CALCIUM/CALMODULIN-REGULATED ENZYME	GABA SHUNT
NAHG	CONSTITUTIVE GS CONTENTS
MT	TAXOL
GENE	RECEPTOR-LIKE KINASES
CPHSC70-1	CPHSC70-2
MIRO1	CONTINUOUS STREAMING OF MITOCHONDRIA
FLK	PEP
MRNA DECAPPING	STRESS ADAPTATION
LOX5	OXYLIPINS
DELETION OF LAST 20 AMINO ACIDS	NUCLEAR LOCALIZATION OF ANAC005-GFP
G6PD1	PLASTIDS
ATVAM3	T-SNARE FUNCTION
LHW	NUCLEUS
N-LIMITED CONDITIONS	DFC MUTANT SEEDLINGS
ABI5	ABRE
ADL1E	ADL1C
CSN	BIOCHEMICAL MODIFICATION OF CUL4
CCX1	CA2+ SIGNALING
ROS-METABOLIZING SYSTEMS	SPIDER MITE-TRIGGERED PLANT-INDUCED RESPONSES
ETHYLENE	EXPRESSION OF GENES
DG238	PHOTOSYNTHETIC EFFICIENCY
ATNUC-L1	PRE-RRNA ACCUMULATION
LCD1-1	HIGHER BACTERIAL GROWTH
MPK6	OXI1 AND PTI1-4
FERROCHELATASE-I	ARABIDOPSIS MITOCHONDRIA
PHOTOTROPIN	KINASE
GENE	FOX HUNTING SYSTEM
LEW2	SOLUBLE SUGARS
PSEUDOMONAS SYRINGAE PV TOMATO	AVRBST
MCM COMPLEX	NUCLEUS
AN GENE	ARRANGEMENT OF CORTICAL MTS
GALS1	BPC1/BPC2
PYL6	TRANSCRIPTION DRIVEN BY MYC2
AGL15	DURING EMBRYO DEVELOPMENT
GAPS	IN SILICO SCREEN
FBP24	ABS IN ARABIDOPSIS
KAT1	SIX TRANSMEMBRANE-SPANNING SEGMENTS
MFP2	SEED STORAGE LIPID CATABOLISM
ATKINUA	PREPROPHASE BAND
SHB1	MINI3 AND IKU2 PROMOTERS
MATE45	ABA2-1
CUL4	PHOTOMORPHOGENIC PHENOTYPE
MYB98	ENDOSPERM
SGR6	ROOT GRAVITROPISM
SCF COMPLEXES	COI1
RTM1	ALPHA-CHAIN OF ARTOCARPUS INTEGRIFOLIA LECTIN
REVERSE GENETICS	NEW PRO EFFECTOR GENES
ZMM GROUP OF PROTEINS	CROSSOVER LOCALISATION
HXK1	SHOOT BRANCHING
AC	TOBACCO, TOMATO
DPB3-1	TRANSCRIPTIONAL COMPLEX WITH NF-YA AND NF-YB SUBUNITS
PEROXIDASES	LIGNIN
FPT2	SAIGINOLS
NIP2;1 PLANTS	DURING HYPOXIA STRESS
HCF173	PSBA MRNA HALF-LIFE
DHARS	MIXED DISULFIDES
ATSPDT	PREFERENTIAL DISTRIBUTION OF P
LOCALIZATION STUDIES	IDENTIFIED CARGO PROTEINS
ATCLPC2 AND ATCLPD	DIMERS
AAO4	BD
ZIFL1	H(+)-COUPLED K(+) TRANSPORT ACTIVITY
HECT DOMAIN	CONJUGATE UBIQUITIN
FLOE1	SEED GERMINATION
COI1-JAZ	JASMONATE AND INSP8
FBP1 CDNA	PRX33/PRX34
CYP83A1	ALDOXIMES
DI-LEUCINE MOTIF	INT4/SUC2/SWEET1
GERANYLGERANYL REDUCTASE GENE	DURING ETIOPLAST TO CHLOROPLAST AND CHLOROPLAST TO CHROMOPLAST DEVELOPMENT
KAM2/GRV2	EARLY TO MIDDLE STAGES OF SEED MATURATION
A. THALIANA IRX10	XYLAN
JGB	POLLEN GERMINATION
ATGSTF9	TREATMENTS EMPLOYED
GPX7	H(2)O(2)
STM	PLASMA MEMBRANE
PYG7	CHLOROPLAST
JMJD5	H3K36 METHYLATION
HSP90C	PLANT VIABILITY
ADL1C	SPECKLES
PFS2	DEVELOPING OVULES
VILLIN2	THICK ACTIN FILAMENT BUNDLES
PHT2;1	LIGHT
VACUOLE BIOGENESIS	RAB7 ACTIVATION
PIP5K3	ROOT HAIR FORMATION
MDP60	MICROTUBULE ORGANIZATION
AIR	FOLIAR CARBOHYDRATES
ATBRNS	SOC1 ACTIVITY IN 3' UTR-DEPENDENT MANNER
ATOZF1	ANTIOXIDANT GENE EXPRESSION
IREH1	ROOTS
GLRS 3.2, 3.3 AND 3.6	WOUND-INDUCED SURFACE POTENTIAL CHANGES
MSBP	P450 ENZYMES
CLE19	ROOT MERISTEM
JAH3-1	SINGLE NUCLEOTIDE CHANGE
AARE/OPH	CYTOPLASMIC AND NUCLEAR
ACBP1	PHOSPHATIDIC ACID
IRT2	IRT1
SCO2	TRANSPORT VESICLES
B-TYPE GENES	B(SISTER) (B(S)) GENES
IAE MUTANTS	AC/DS TRANSPOSON TAGGING SYSTEMS
SPL7	KIN17
RNAI	MRNA LEVELS
GENE	LEAF COLOR
ALA6	ION-LEAKAGE
CBL9	OSMOTIC STRESS RESPONSE
GFP VARIANT	RETICULATE NETWORK
ATDPS/ATE2FA	IN VITRO
XET	INTERCELLULAR AIRSPACE FORMATION
ATRBOHD	FULL ROI PRODUCTION
EDR1	DEFENSIN EXPRESSION
IRT3	ZN IN SHOOT
CEPR1	CHLOROSIS
ATAURORA1	DYNAMIC MITOTIC STRUCTURES
ATMRP5	INSP(6)
ERF96	TRANSCRIPT LEVELS OF ABA-RESPONSIVE GENES
ATSUC3	FUNNELLING SUCROSE FROM MESOPHYLL TO PHLOEM
PHS1-3 MUTANT	'IN PLANTA' APERTURE OF STOMATA
XTC1	ORGAN IDENTITY
AT2G20340	ATAAS
CYTOKININ OXIDASE	CYTOKININ SIDE CHAINS
APC/C	MITOTIC PROGRESSION
ARR1	SCF UBIQUITIN LIGASES
FAD7	CONSENSUS CHLOROPLAST TRANSIT PEPTIDE
SUPERKILLER2	PTGS
PECTIN	MUM2 MUTANT
ATPOMT1	2-OXOGLUTARATE/MALATE TRANSPORTER
CBF3	B1L
NAI1	MEB1/MEB2
FOF2	ABA
PTST2	THYLAKOID
ATM3	MOCO BIOSYNTHESIS
EID1	CULLIN1
ANTR2	PLASTID INNER ENVELOPE
MTERFS	MITOCHONDRIA AND PLASTIDS
NONACOSANE	LAP3-2 MUTANTS
CRYPTOCHROMES 1 AND 2	COTYLEDON OPENING RESPONSE TO UV-B --> R TREATMENTS
PHO2/PHS2	HETEROGLYCANS
KAT2	KEY STEP
CAP-D3	GROWTH
KOJAK/ATCSLD3	PROCESS OF ROOT HAIR OUTGROWTH
NHD1	MATURE/SENESCENT LEAVES
AFP2	NUCLEUS
ATAGP17	LEAVES, STEMS, FLOWERS, ROOTS
SQN	AGO1 ACTIVITY
MUTATIONS	AMOUNT/LOCATION OF PA
BIT1	PSBS
NTL4	GENES ENCODING ROS BIOSYNTHETIC ENZYMES
MAPKS	BASAL DEFENCE-RELATED GENES
ATPGIP1/2	POLYGALACTURONASE
DECREASED SAM FLUX INTO PLASTIDS	UNDERMETHYLATION
ACER-1 MUTANTS	CERAMIDE LEVELS
EXOGENOUS MALATE AND GLUTAMATE	STARCH AND SUCROSE ACCUMULATION
PYL8/RCAR3	NUCLEUS
SERK1	SERK2
RBSK	RIBOSE
BRIP1	GENE EXPRESSION
KNOX GENES	AS1-AS2 COMPLEX
IPMS1/IPMS2	2-OXO ACID SUBSTRATES
ROC1	BES1
HY5	HDA15
ATPROT2	EPIDERMIS/CORTEX CELLS IN ROOTS
LEC2	ACCUMULATION OF OIL BODIES
ELS1-D MUTANT	PLEIOTROPIC PHENOTYPE
DEG1	STATE TRANSITION ADAPTATION
GFP-GIP1A	EXISTING MICROTUBULES
DREB2A	EXPRESSION OF DEHYDRATION- AND HEAT STRESS-INDUCIBLE GENES
CYCLOPROPYL STEROLS	IN PLANTS
COP1	LIGHT REGULATION
CAX3	CA2+ HYPERSENSITIVE YEAST PHENOTYPE
NEV	PRECOCIOUS CELL EXPANSION
ATCRR1	CR4 GROUP
D-MET	MALONYL-METHIONINE
AT2G04270	CHLOROPLAST
RNA SILENCING	PROCESS
E2FD	CELL DIVISION
CPSFL1	MEMBRANE TRAFFICKING BETWEEN ORGANELLAR SUBCOMPARTMENTS
YEAST ABC1 MUTANT	ARABIDOPSIS THALIANA CDNA
CYP98A3	PLANT DEVELOPMENT
ATNRAMP3	ARABIDOPSIS THALIANA RESISTANCE AGAINST E. CHRYSANTHEMI
SOLUBLE ER MARKER	AUTOPHAGOSOMES
PPAT-1 KNOCKDOWN MUTATION	PPAT TRANSCRIPT LEVELS
MIR169	DROUGHT STRESS
EXO70A1	TE DEVELOPMENT
MET1	CPG METHYLASES
ATBZIP10	LSD1 IN HR AND DEFENSE RESPONSES
PRC2/MET1/DME	MATERNAL UCL1 SILENCING
SOS4	PYRIDOXAL KINASE
MCD1	REGULATION OF Z-RING POSITIONING
DOV1 MUTANT	CELL-SPECIFIC DIFFERENCE IN CHLOROPLAST DEVELOPMENT
APK1	TYROSINE
H3K4ME3	FLC EXPRESSION
DCL4	TA-SIRNA BIOGENESIS
LBD18	NUCLEUS
UGT75B1	PAGT
ATSCC2	EMB2773
SPEECHLESS	MMC IDENTITY
ESC	HYPOCOTYL AND VASCULATURE TISSUE
WAK PROTEINS	LINKERS OF CELL WALL TO PLASMA MEMBRANE, SIGNALING MOLECULES
SQS1 MRNA	ALL PLANT TISSUES
1-ACYLLYSOPHOSPHATIDYLGLYCEROL	PE OR PHOSPHATIDYLGLYCEROL
BZIP60/IRE1 AND BZIP28/BZIP17	INCREASES PHOTOTOLERANCE
ET	EIN3
ATGAT1	WOUNDING OR SENESCENCE
CORONATINE	COI1
MS-BASED PROTEOMICS	PROTEOME OF TWO MAJOR SUBTYPES
KEA1KEA2 MUTANTS	DECAY TO NEUTRAL PH IN DARK
EUKARYOTIC INITIATION FACTOR 3 (EIF3)	10 OUT OF 11 SUBUNITS (PLANT AND MAMMALIAN)
NPQ	LSR1(-) MUTANT
LFY	REPRODUCTIVE DEVELOPMENT
AUX/IAA	GRETCHEN HAGEN3
ATPUB48	RESPONSE TO WATER STRESS
CNX1	MPT
ATFHA2	NUCLEUS
ATCCME	MITOCHONDRIA
PIF8	FAR-RED LIGHT
ATIMD3	LEU2 MUTANT OF YEAST
ATEPL1	GENOME-WIDE H4AC AND H2A.ZAC
HEX-2	N-ACETYLGLUCOSAMINE FROM N-GLYCAN ANTENNAE
THYLAKOID MEMBRANE	PH GRADIENT ACROSS
WRKY11	AR156-TRIGGERED ISR
NDHK	NDH ASSEMBLY INTERMEDIATES
MAC3B	BASAL AND R PROTEIN-MEDIATED RESISTANCE
FATTY ACIDS	JA
ATNAD-ME2	BETA-SUBUNITS
AT5G64060	BASAL DEFENSE RESPONSES
ETHYLENE	DEVELOPMENTAL PROCESSES
CID1, CID7	TWO-HYBRID SCREEN
FB1	CELL DEATH
TRNA-PHE(GAA) AND TRNA-ARG(ACG)	PRORP1 MUTANTS
RKP	ICK/KRP
ATACT	INFECTION BY ALTERNARIA BRASSICICOLA
MIOX GENES	SYNCYTIUM DEVELOPMENT AND FEMALE NEMATODE DEVELOPMENT
FUNCTIONAL A. THALIANA SWEET1	GLUCOSE TRANSPORT
SOS3	K+ NUTRITION
ATPUSS/ZMPUSS	6 SUBFAMILIES
DRP3A	FISSION OF ELONGATED PEROXISOMES
PEX12	PLANT GROWTH
HGPT	PPI BINDING LOOP
PLASTID NDH COMPLEX	SIG4 MUTANT PLANTS
BSKS	PLANT GROWTH
POSTTRANSLATIONAL CONTROL	COA HOMEOSTASIS
HHP PROTEINS	CBF UPSTREAM REGULATORS
MICROTUBULES	EDE1
XCP2	TE CENTRAL VACUOLE
NOXY	SIGNALING CELL WALL DAMAGE
SERRATE	PHASE LENGTH AND LEAF IDENTITY
FPGS	EACH COMPARTMENT WITH POLYGLUTAMYLATED FOLATE COENZYMES
MYOSIN XI	ORGANELLES
RAF10	DELAYED SEED GERMINATION
PROTEIN	NUCLEAR CAPS
ATG5, ATG7, ATG10	SIMILAR POWDERY MILDEW RESISTANCE AND MILDEW-INDUCED CELL DEATH PHENOTYPES
RBL	RIBOSOMAL BIOGENESIS & GENE EXPRESSION
GLUTAMATE 1-SEMIALDEHYDE 2,1-AMINOMUTASE	GLUTAMATE 1-SEMIALDEHYDE TO ALA
MIR393B(*)/MIR393	AGO1/AGO2
RLP30	SCFE1
ACT2	ALL VEGETATIVE TISSUES AND ORGANS
WILD TYPE	THIAMIN
FOF2	LIGHT
ATGLCAT14A	BETA-1,6- AND BETA-1,3-GALACTAN
ATEHD1	BREFELDIN A SENSITIVITY
ATPAKRP1	BUNDLES OF MTS
CHR2	SECONDARY STRUCTURES OF PRI-MIRNAS
ARC3	OUTER SURFACE OF CHLOROPLAST
GEX1	DIMERIZATION
CDT1A	DNA REPLICATION
STYLISH2 GENE	ECTOPIC EXPRESSION OF SPT
ARC6	FTSZ2 TETHERING
MEI1	SPO11 DSB RECOMBINATION REPAIR
ZTL	TOC1
SVP	VEGETATIVE TISSUES AND FLORAL PRIMORDIA
CONSTITUTIVE EXPRESSER OF PATHOGENESIS-RELATED GENES (CPR)1	PAL GENE ACTIVATION
CRYPTOCHROMES/PHYTOCHROMES	PHOTOMORPHOGENESIS
MAT3	TRANSFER RNA LEVELS
EXCESS B	CONDENSIN II SUBUNIT GENES
PARB/NTPOX	OXIDATIVE DAMAGE
ARC3	FTSZ ASSEMBLY
ZAT12	FREEZING TOLERANCE
AT4	CYTOKININ AND ABA
CEL1	PHENOTYPE
ATSUC3	SINGLE SUBEPIDERMAL CELL LAYER OF CARPELS
ATTPS03	PLANT-INSECT INTERACTIONS
ATRRP6L2	POLY(A)-MEDIATED RNA DEGRADATION
ATCAD A, B1, B2, F, G	RESTORING LIGNIN PROFILE
ATSWI3C	BRAHMA
ROP	ACTIN AND MICROTUBULE ORGANIZATION
OPS-BRX	ROOTWARD END OF PROTOPHLOEM CELLS
LIBRARY CHARACTERIZATION	SIZE BIAS
ALS1	INTRACELLULAR MOVEMENT OF CHELATED AL
CCT101	SDG8
GET PATHWAY	MEMBRANE INSERTION
HAN	JAG
SPL/NZZ	AP2
RAV1	RETARDATION OF LATERAL ROOT AND ROSETTE LEAF DEVELOPMENT
DNA	DNA REPLICATION
SVP	FT/TSF
HAI PP2C MUTANTS	DEFENSE-RELATED GENE EXPRESSION
ATAIRP2	ATP1/SDIRIP1
AT4G24160	GXSXG LIPASE MOTIF
ATMUS81	15% ATMSH4-INDEPENDENT CROSSOVERS
SPT6L	AT TSS
PIP5K2	PTDINS(4,5)P(2)
ISA1-ISA2	SMALL SOLUBLE BRANCHED GLUCANS
SAR1	ER-TO-GOLGI TRANSPORT
ATPS1	PARENT'S HETEROZYGOSITY
PATHOGENICITY	TYPE III SECRETION SYSTEM
COG2 PROTEIN	EXOCYST SUBUNITS
TRANSCRIPTION	REDUCTION IN PROTEINS
HPPD	OVERALL FOLD
VPS26C	ROOT HAIR GROWTH
LEAF PEROXISOMES	HYDROGEN PEROXIDE
DRIP2	DREB2A
PIL6	LIGHT
JAZ1DELTAJAS/JAZ9DELTAJAS	
D5RF	PATHOGEN-RESPONSIVE GENES
EPF1	ER-MEDIATED IMMUNITY
PROTEASE	INNER ENVELOPE MEMBRANE
MYB21MYB24 DOUBLE MUTANT	MYB21 PHENOTYPE
STA1-1	SPLICING OF INTRON CONTAINING PRI-MIRNAS
A. THALIANA	ONLY THREE GENES WITH HOMOLOGY TO THE APS CDNAS
NIP2;1	PLASMA MEMBRANE
SF1	U2AF65
V-ATPASE	GOLGI ORGANIZATION
ATCDC26	CELL DIVISION, GROWTH AND EMBRYO DEVELOPMENT
MICROTUBULE ORGANIZATION 1	PHRAGMOPLAST MICROTUBULES
WPP DOMAIN	NE IN INTERPHASE
20-KDA CPDASE	NUCLEOSIDE 2',3'-CYCLIC PHOSPHATES
MYB21	JASMONATE RESPONSE
LACS1	CUTICULAR WAX
PPR40-1 MUTANT	ALTERNATIVE OXIDASE AOX1D
ENT1,AT	ADENOSINE
PKS5	PM H(+)-ATPASE
P HOMEOSTASIS	SHOOT IONOMIC SIGNATURE
ROP11	CELL WALL DEPOSITION
RAF22	RAF36
PSA2	LIGHT ACCLIMATION
TAG	DAG
DGDG	THYLAKOIDS
HLL	MRNA IN PISTILS
CER1	OSMOTIC STRESSES
SCS1/2A/2B	TRANSCRIPTION OF DEVELOPMENT-RELATED GENES
PRR3	TOC1 PROTEIN
GENE	STRUCTURE
ATAURORA	CELL CYCLE-RELATED SIGNAL TRANSDUCTION PATHWAYS
ATPPT2	CUE1 PHENOTYPE
ATFH1	ORGANELLE ACTIN-DEPENDANT DYNAMICS
MUTANT	NORMAL PETAL DEVELOPMENT
LFY	AP3 & PI
ATDRO1	AUXIN GRADIENT FORMATION
AT4CL1	RESPONSE TO WOUNDING
FULL-LENGTH TMDS	ABILITY OF RTNLB13 TO RESIDE IN ER MEMBRANE
PUTATIVE TOZ ORTHOLOGS	OTHER EUKARYOTES
MGP1	MITOCHONDRIAL F(1)F(0)-ATP SYNTHASE
ATPRX71	LIGNIN BIOSYNTHESIS
CALS5	CALLOSE
EBS4	ALG12
NACL	ALKYL COUMARATE CONTENT
AGP	WALL MATRIX HEMICELLULOSIC AND PECTIC POLYSACCHARIDES
PLANT PROTEIN KINASES	
ATMKK2/MEK1	ATMPK4
XCT	CIRCADIAN CLOCK
CBF3/DREB1A	OTHER CBF GENES
NDH	CYCLIC ELECTRON FLOW
ATTZF5	RD21A
MYB30	PIF4-PHYB INTERACTION
SCAP1	MATURING GUARD CELLS
STM	SAM INITIATION AND MAINTENANCE
PHR1	PI STARVATION SIGNALING PATHWAY
ATRX	H3.1/H3.3 BALANCE
PNC2	COUNTEREXCHANGE OF ATP WITH ADP/AMP
FPS2	THERMAL INACTIVATION
KLU	CELL PROLIFERATION
ATPREP	ZN
ABA	STOMATAL CLOSURE
AUX1 LAX	EMBRYONIC ROOT FORMATION
ATMKP2	MPK3 & MPK6
AT-AER	DETOXIFICATION OF REACTIVE CARBONYLS
ICE1	CBFS
GALT8	BETA-(1,3)-GALACTAN
CR4	SERINE/THREONINE RECEPTOR-LIKE KINASE
MVD	PEROXISOMES
TREE1	INHIBITION OF SHOOT GROWTH
ADF1	ACTIN FILAMENTS/BUNDLES
SA	O3-INDUCED CELL DEATH
RDO1	CHROMOSOME 3
APETALA3	SEPALLATA
DEX-TREATMENT	CELL DEATH
GENE	DEVELOPMENT
CENH3	KINETOCHORES
ATRAN1	PLANT RESISTANCE TO PATHOGENS
PROFILINS	NUCLEI
PHYA	GENE EXPRESSION
ENZYME	BETA-ZEACAROTENE
CRK45	DISEASE RESISTANCE
VIM1, VIM2, VIM3	HIGH SEQUENCE SIMILARITY
BAK1	FLS2
EIF4B	EIF4A
PSS/APL1	3-PGA AND PI
LDA	STARCH EXCESS PHENOTYPE
GLK1	CHLOROPLAST DEVELOPMENT
ALCOHOL	PLD-MEDIATED PA FORMATION
GENE	CELL WALL ENZYMES
PAC	DEVELOPMENT OF LEAVES AND CHLOROPLASTS
AAR3 GENE	PROTEIN WITH DUF298 DOMAIN
C(14) OR C(13)-LABELLED TZ	ATABCG14
CRR23	NDHH
INSP5 2-KINASE	INSP6
ECA1	ENDOPLASMIC RETICULUM
SYP132	VAMP721/722
INSERTION PROCESS	INSERTION AS DOUBLE-LOOP STRUCTURE
DRP1C-GFP	DIVISION PLANE
BCE2	CORE
MUTATION	BDT1 BINDING
PXY GENE	RECEPTOR-LIKE KINASE
DWA1	CUL4
ATOSCA1.2	HOMODIMER
DDRM1	SOG1
FLL2 MUTANT	CHLOROPHYLL CONTENT
GGCT	GLUTATHIONE
CTR1	EPISTASIS
BAP1	TEMPERATURE
PIN2	ATSNX1-CONTAINING ENDOSOMES
SAUR75	POLLEN TUBE NUCLEI
NAT-GFP	PLASMA MEMBRANE
CSN5A	CUL3
OPS	METAPHLOEM SIEVE TUBE DIFFERENTIATION
UCP1	PHOTOSYNTHETIC CARBON ASSIMILATION RATE
GLCNA.UT1/GLCNA.UT1 GLCNA.UT2/GLCNA.UT2	UNFERTILIZED OVULES
ARTIFICIAL PPR PROTEINS	INTENDED RNA IN VIVO
WILD-TYPE	PHENOTYPES
G2A MUTATION	ATCPK2 MEMBRANE ASSOCIATION
PGP	SHOOT APEX
ATTKL1/2	STROMA-LOCALIZED PROTEIN KINASE
ATACX1	PEPTIDE
EOL1	CLF ALLELE
JMJ29	H3K9ME2
VASCULAR MERISTEM	WOODY TISSUE
LEAF VEINS	CLOSED NETWORK
METABOLIC PHENOTYPES	DEFICIENCY IN MITOCHONDRIAL FATTY ACID SYNTHASE SYSTEM
ARABIDOPSIS BETA-CATENIN-RELATED PROTEINS	PREVIOUSLY UNCHARACTERIZED PATHWAY THAT PROMOTES ROOT BRANCHING
AUF1	PIN PROTEINS
VRN1	POSITIVELY CHARGED RESIDUES
MTOPVIB	ATSPO11-2
LFY	LEAF/BRACT MORPHOGENESIS
RMA1	ER
WILD-TYPE RECOMBINANT PROTEIN	SYNTHETIC P-NITROPHENYL ESTER SUBSTRATES
CO2	CARBONIC ANHYDRASES
TON1	CORTICAL CYTOSKELETAL STRUCTURES
ATBT1 RNAI MUTANT PLANTS	ADENOSINE FEEDING
CA1	36.1-KD POLYPEPTIDE
PEA1P	ROOTS THAN LEAVES
GAI/RGA	GA REGULATION
ECHIDNA	FLAVONOID ACCUMULATION
ETTR1 RTE1	SAME PATHWAY
PLD	RNA BINDING
JAZ NULL MUTANTS	JAZ13 IS A REPRESSOR
PEROXISOMES	65 ESTABLISHED PROTEINS
PME ACTIVITY	SIMULATED MICROGRAVITY
PDF1 PROMOTER	260-BP FRAGMENT
THR-474	AUTOPHOSPHORYLATION
PDF1-2	B. CINEREA RESPONSE
PROTEIN UBIQUITYLATION	BIOLOGICAL PROCESSES
9-KOT	HORMONAL CHANGES CAUSED BY BACTERIAL EFFECTORS
AT-MMPS	DIFFERENT PROTEASE SUBSTRATES
RTH	ETHYLENE HYPERSENSITIVITY
OMEGA-3 DESATURASES	COMMON ENZYME MECHANISM
MOR1-1 ALLELE	CELL PLATES
ABH1	ARABIDOPSIS HOMOLOG
AOAT1	GGAT
ABA	SNRK1 TARGET GENE EXPRESSION
RNA PROCESSING FACTORS	5' END MATURATION OF MITOCHONDRIAL MRNAS
SULFITE OXIDASE	SULFITE REDUCTASE TRANSCRIPT
ATIRE1-1	PERINUCLEAR ER
FT	FLOWERING
HRT	TCV CP
ZIP3/ZIP9	BZIP19
AVRPPHB	PTI
RECG	RUVC
SKP2A	CELL DIVISION AND STRESS RESPONSES
[CA2+]CYT SIGNALS	RESPONSE OF STOMATA TO EXTRACELLULAR CALCIUM
RETROMER	PREVACUOLAR COMPARTMENT
LIP5	POLLEN WALL DEVELOPMENT
SIGNALING	FER
GL3/GL1	ENDOCYCLE
O3	FUNCTIONAL NO PRODUCTION
DELLA PROTEINS	EFFECT ON GENE EXPRESSION
HPPR2	
PMEI6	BIOGENESIS OF CELLULOSE-PECTIN MATRIX
MUTANT	ABSCISIC ACID
WRKY51	JA-INDUCIBLE PDF1.2 EXPRESSION
CLE PEPTIDE	CLV1/CLV2/CRN MULTIMERS
CHX16-20	ALKALINE PH-SENSITIVE GROWTH PHENOTYPE
ATPSKR1	FULL-LENGTH RECEPTOR
GENE	ROOT HAIR WALLS
SALK T-DNA INSERTION COLLECTION	TRADITIONAL FORWARD GENETICS
SD3	PROTEIN
PIP2	PLDALPHA
MAX3	STRIGOLACTONES
MOS9	AUTOIMMUNE PHENOTYPES OF SNC1
KRP2	PLANT GROWTH
RPT2	LEAF, ROOT, TRICHOME, AND POLLEN DEVELOPMENT
LKP2	FKF1
AGL2	PRIMORDIA OF ALL FOUR FLORAL ORGANS
ANTIBODIES	RECOMBINANT POLYPEPTIDES
PI-4-P	REACTION
RKKVKP	NUCLEUS
HAESA	FLORAL ORGAN ABSCISSION
QB-SNARES	GOLGI APPARATUS
EXPANSINS/XTHS	IN MED7 SILENCED LINES
NEUROSPORA CRASSA	DE NOVO METHYLATION INDEPENDENT OF RNA INTERFERENCE
GA	GASA1 & GA5 MRNA
GPT1/2	GROWING MT PLUS ENDS
ATCXXS1/2	GLUTATHIONE GLUTAREDOXIN PATHWAY
HEAT SHOCK PROTEINS	IN SIZ1 AND WILD-TYPE SEEDLINGS
SUS2/SUS3	DRY WEIGHT ACCUMULATION
PLANTS	DIFFERENT ENVIRONMENTS
ATYAK1	TO ACTIVATE PLANT GROWTH
RUBISCO	SPECIFICITY
KNAT6	SAM MAINTENANCE
BZIP23	ZIP9 EXPRESSION
ATPPSPASE1	CLASSICAL PYROPHOSPHATASES
XCT	CAENORHABDITIS ELEGANS
MI-1	WRKY72-TYPE TRANSCRIPTION FACTORS
EDS1	TRANSCRIPTIONAL UP-REGULATION OF PAD4
GSH1	FIRST COMMITTED STEP OF GLUTATHIONE BIOSYNTHESIS
SCR	GLC
D14	SHOOT BRANCHING
LIPA	PM
HIGH AUXIN	PILS6 PROTEIN LEVELS
EIN2	NPR1-INDEPENDENT RESISTANCE
AFL1	PLASMA MEMBRANE
C/N CONDITIONS	ATL31, ATL6 AND DEFENSE MARKER GENES
